country,fullName,clubName,position,counterGames,counterGoals
Португалия,Савельев Вадим Иванович,Манчестер Сити,attacker,131,8
Германия,Фёдоров Михаил Павлович,Зенит,goalkeeper,30,-14
Испания,Семёнов Михаил Алексеевич,ПСЖ,goalkeeper,23,-19
Россия,Антонов Матвей Данилович,ПСЖ,halfdefender,13,4
Англия,Блинов Фёдор Равильевич,ПСЖ,defender,21,13
Англия,Фёдоров Вячеслав Вячеславович,Динамо,attacker,137,81
Бразилия,Яковлев Анатолий Владимирович,Барселона,goalkeeper,88,-35
Бразилия,Захаров Глеб Данилович,Динамо,attacker,102,89
Испания,Сидоров Михаил Леонидович,Спартак,defender,122,45
Италия,Калинин Даниил Николаевич,Реал Мадрид,attacker,116,75
Англия,Мельников Олег Викторович,Бавария,defender,84,69
Бразилия,Марков Вячеслав Анатольевич,ЦСКА,halfdefender,145,83
Португалия,Жуков Андрей Павлович,Реал Мадрид,halfdefender,149,3
Германия,Романов Артём Иванович,Зенит,halfdefender,109,42
Испания,Петров Александр Рустамович,Локомотив,goalkeeper,29,-19
Англия,Марков Андрей Алексеевич,ЦСКА,halfdefender,123,53
Италия,Лазарев Кирилл Степанович,Ювентус,attacker,65,40
Франция,Козлов Кирилл Григорьевич,Зенит,halfdefender,132,7
Испания,Андреев Вадим Рустамович,Барселона,attacker,76,41
Германия,Орлов Тихон Аркадьевич,Манчестер Сити,halfdefender,148,32
Нидерланды,Касаткин Лев Анатольевич,Ювентус,defender,84,34
Бразилия,Куликов Егор Ярославович,Локомотив,defender,143,87
Германия,Васильев Арсений Андреевич,Барселона,attacker,131,40
Испания,Блинов Матвей Геннадьевич,Спартак,defender,178,62
Испания,Егоров Антон Станиславович,Арсенал,halfdefender,105,2
Россия,Андреев Фёдор Станиславович,Реал Мадрид,defender,179,17
Франция,Титов Валерий Михайлович,Бавария,attacker,97,71
Англия,Николаев Дмитрий Геннадьевич,Бавария,defender,66,61
Англия,Петров Лев Дмитриевич,Манчестер Сити,halfdefender,4,0
Испания,Марков Глеб Эдуардович,Локомотив,goalkeeper,113,-12
Аргентина,Фролов Роман Леонидович,Динамо,halfdefender,174,31
Португалия,Гордеев Александр Аркадьевич,Бавария,defender,117,61
Аргентина,Савельев Арсений Данилович,Манчестер Сити,halfdefender,160,89
Португалия,Попов Егор Никитич,Локомотив,defender,17,2
Россия,Калинин Григорий Станиславович,Бавария,attacker,99,6
Испания,Лазарев Глеб Вадимович,Бавария,goalkeeper,67,-18
Италия,Орлов Константин Семёнович,Динамо,attacker,57,17
Англия,Жуков Матвей Станиславович,Локомотив,defender,143,25
Португалия,Антонов Максим Арсеньевич,Арсенал,defender,13,0
Аргентина,Попов Фёдор Кириллович,Реал Мадрид,attacker,50,5
Франция,Марков Егор Русланович,Бавария,halfdefender,156,44
Аргентина,Фёдоров Владимир Дмитриевич,ПСЖ,halfdefender,158,88
Аргентина,Петров Тихон Маркович,Ювентус,halfdefender,129,5
Англия,Зайцев Вячеслав Германович,Арсенал,halfdefender,117,53
Португалия,Гаврилов Илья Константинович,Ливерпуль,defender,110,0
Аргентина,Андреев Сергей Георгиевич,Зенит,halfdefender,96,7
Россия,Морозов Матвей Рустамович,Барселона,attacker,92,84
Франция,Никитин Никита Ярославович,Динамо,halfdefender,65,57
Италия,Семёнов Михаил Васильевич,Барселона,halfdefender,99,6
Англия,Блинов Кирилл Семёнович,Бавария,defender,14,3
Россия,Фёдоров Роман Олегович,Реал Мадрид,defender,69,50
Германия,Орлов Вячеслав Петрович,Бавария,attacker,70,49
Нидерланды,Тарасов Владимир Фёдорович,Бавария,halfdefender,165,66
Англия,Кузнецов Кирилл Станиславович,Ювентус,defender,36,23
Нидерланды,Жуков Антон Никитич,Динамо,halfdefender,52,33
Италия,Орлов Григорий Витальевич,Спартак,defender,151,86
Бразилия,Беляев Вячеслав Антонович,Зенит,defender,163,47
Португалия,Данилов Павел Ярославович,Арсенал,attacker,76,58
Россия,Мельников Константин Равильевич,Локомотив,defender,75,4
Нидерланды,Соколов Георгий Фёдорович,Локомотив,defender,148,71
Нидерланды,Михайлов Александр Радмирович,Ливерпуль,halfdefender,145,16
Франция,Павлов Ярослав Тарасович,Зенит,defender,24,21
Россия,Антонов Владимир Матвеевич,Барселона,attacker,57,37
Аргентина,Морозов Егор Андреевич,Реал Мадрид,attacker,37,34
Нидерланды,Михайлов Вадим Дмитриевич,Бавария,defender,25,14
Англия,Касаткин Вячеслав Тимофеевич,Манчестер Сити,attacker,68,15
Германия,Барсуков Константин Валерьевич,Спартак,goalkeeper,13,0
